REGION_NUM,REGION_NAME,FOREST_NAME,DISTRICT_NAME,CITY,STATE,LOCATION,MODULES,HOUSING,NOTES,FOREST_URL
4,Intermountain,UINTA-WASATCH-CACHE,PLEASANT GROVE,PLEASANT GROVE,UTAH,"PLEASANT GROVE, UTAH",Engine,NO,,http://www.fs.usda.gov/uwcnf
4,Intermountain,CARIBOU-TARGHEE,WESTSIDE,POCATELLO,IDAHO,"POCATELLO, IDAHO","Engine, Helitack, Fuels",NO,,http://www.fs.usda.gov/ctnf
5,Pacific Southwest,ELDORADO,PACIFIC,POLLOCK PINES,CALIFORNIA,"POLLOCK PINES, CALIFORNIA","Helitack, Engine, Hotshot Crew, Type 2/2IA Handcrew (Dedicated 20+person), IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/eldorado
6,Pacific Northwest,UMATILLA,POMEROY,POMEROY,WASHINGTON,"POMEROY, WASHINGTON",,,,http://www.fs.usda.gov/umatilla
1,Northern,NEZ PERCE-CLEARWATER,PALOUSE,POTLATCH,IDAHO,"POTLATCH, IDAHO",Type 2/2IA Handcrew,YES,,http://www.fs.usda.gov/nezperceclearwater/
1,Northern,NEZ PERCE-CLEARWATER,LOCHSA/POWELL,POWELL,IDAHO,"POWELL, IDAHO","Engine, IA Crew/Squad (4-10 person)",YES,No cell service,http://www.fs.usda.gov/nezperceclearwater/
6,Pacific Northwest,ROGUE RIVER-SISKIYOU,POWERS,POWERS,OREGON,"POWERS, OREGON",,,,http://www.fs.usda.gov/rogue-siskiyou/
6,Pacific Northwest,MALHEUR,PRAIRIE CITY,PRAIRIE CITY,OREGON,"PRAIRIE CITY, OREGON",Type 2/2IA Handcrew  (Dedicated 20+person) ,YES,It was pretty solid by Dixie Pass,http://www.fs.usda.gov/malheur
5,Pacific Southwest,SIERRA,HIGH SIERRA,PRATHER,CALIFORNIA,"PRATHER, CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
3,Southwestern,PRESCOTT,PRESCOTT FIRE CENTER,PRESCOTT,ARIZONA,"PRESCOTT, ARIZONA","Engine, Hotshot Crew, Helitack, Prevention",NO,,https://www.fs.usda.gov/prescott
4,Intermountain,MANTI-LASAL,PRICE,PRICE,UTAH,"PRICE, UTAH",Engine,NO,A few decent-ish rentals around town.,http://www.fs.usda.gov/mantilasal
1,Northern,IDAHO PANHANDLE,,PRIEST LAKE,IDAHO,"PRIEST LAKE, IDAHO",Engine,YES,,https://www.fs.usda.gov/ipnf/
1,Northern,IDAHO PANHANDLE,PRIEST LAKE,PRIEST RIVER,IDAHO,"PRIEST RIVER, IDAHO",,,,https://www.fs.usda.gov/ipnf/
6,Pacific Northwest,OCHOCO,LOOKOUT MOUNTAIN,PRINEVILLE,OREGON,"PRINEVILLE, OREGON",,,,https://www.fs.usda.gov/ochoco
6,Pacific Northwest,OCHOCO,PAULINA,PRINEVILLE,OREGON,"PRINEVILLE, OREGON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , IA Crew/Squad (4-10 person), Hotshot Crew, WFM, Rappel, Fuels",YES,Housing is 30+ min from station with no cell service. Bunkhouses may now have internet-    Bunkhouses by the old Ochoco Ranger Station,https://www.fs.usda.gov/ochoco
6,Pacific Northwest,ROGUE RIVER-SISKIYOU,HIGH CASCADES,PROSPECT,OREGON,"PROSPECT, OREGON","IA Crew/Squad (4-10 person), Hotshot Crew, Fuels, Prevention",YES,,http://www.fs.usda.gov/rogue-siskiyou/
3,Southwestern,GILA,QUEMADO,QUEMADO,NEW MEXICO,"QUEMADO, NEW MEXICO","Engine, WFM",YES,,https://www.fs.usda.gov/gila/
3,Southwestern,CARSON,QUESTA,QUESTA,NEW MEXICO,"QUESTA, NEW MEXICO",,,,https://www.fs.usda.gov/carson
6,Pacific Northwest,OLYMPIC,HOOD CANAL,QUILCENE,WASHINGTON,"QUILCENE, WASHINGTON",,,,http://www.fs.usda.gov/olympic/
6,Pacific Northwest,OLYMPIC,PACIFIC,QUINAULT,WASHINGTON,"QUINAULT, WASHINGTON",,,,http://www.fs.usda.gov/olympic/
5,Pacific Southwest,PLUMAS,MT HOUGH,QUINCY,CALIFORNIA,"QUINCY, CALIFORNIA","Engine, Hotshot Crew, Helitack, Fuels, Prevention",YES,"Housing on site pretty nice, also Greenville and Belden (Gansner Bar) duty stations have housing.",http://www.fs.usda.gov/plumas/
5,Pacific Southwest,CLEVELAND,PALOMAR,RAMONA,CALIFORNIA,"RAMONA, CALIFORNIA",,,,http://www.fs.usda.gov/cleveland
6,Pacific Northwest,GIFFORD PINCHOT,COWLITZ VALLEY,RANDLE,WASHINGTON,"RANDLE, WASHINGTON","Type 2/2IA Handcrew  (Dedicated 20+person), IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/giffordpinchot
2,Rocky Mountain,BLACK HILLS,MYSTIC,RAPID CITY,SOUTH DAKOTA,"RAPID CITY, SOUTH DAKOTA",Engine,Yes,"Bunkhouses located in Hill City, 45min from Rapid City",http://www.fs.usda.gov/blackhills
1,Northern,CUSTER GALLATIN,BEARTOOTH,RED LODGE,MONTANA,"RED LODGE, MONTANA",,,,http://www.fs.usda.gov/custergallatin
5,Pacific Southwest,SHASTA-TRINITY,REDDING AIR CENTER,REDDING,CALIFORNIA,"REDDING, CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
6,Pacific Northwest,DESCHUTES,REDMOND AIR CENTER,REDMOND,OREGON,"REDMOND, OREGON",smokejumper,YES,,http://www.fs.usda.gov/centraloregon
6,Pacific Northwest,SIUSLAW,OREGON DUNES NATIONAL RECREATION AREA,REEDSPORT,OREGON,"REEDSPORT, OREGON",Engine,NO,,http://www.fs.usda.gov/siuslaw
6,Pacific Northwest,COLVILLE,REPUBLIC,REPUBLIC,WASHINGTON,"REPUBLIC, WASHINGTON",Engine,NO,,http://www.fs.usda.gov/colville
3,Southwestern,GILA,RESERVE,RESERVE,NEW MEXICO,"RESERVE, NEW MEXICO","Engine, HOTSHOT CREW",YES,Housing available at nearby Luna guard station. GILA IHC at Negrito Firebase wayyy outside of town,https://www.fs.usda.gov/gila/
2,Rocky Mountain,WHITE RIVER,RIFLE,RIFLE,COLORADO,"RIFLE, COLORADO","Engine, WFM, Helitack",YES,"The helitack crew is very dialed, but you will likely not leave the district.",http://www.fs.usda.gov/whiteriver
6,Pacific Northwest,WALLOWA-WHITMAN,HELLS CANYON NATIONAL RECREATION AREA,RIGGINS,IDAHO,"RIGGINS, IDAHO",,,,http://www.fs.usda.gov/wallowa-whitman
3,Southwestern,TONTO,TONTO BASIN,ROOSEVELT,ARIZONA,"ROOSEVELT, ARIZONA",Engine,YES,,https://www.fs.usda.gov/tonto/
3,Southwestern,LINCOLN,SMOKEY BEAR,RUIDOSO,NEW MEXICO,"RUIDOSO, NEW MEXICO",,,,https://www.fs.usda.gov/lincoln
3,Southwestern,LINCOLN,SACRAMENTO,SACRAMENTO,NEW MEXICO,"SACRAMENTO, NEW MEXICO",Hotshot Crew,YES,,https://www.fs.usda.gov/lincoln
3,Southwestern,CORONADO,SAFFORD,SAFFORD,ARIZONA,"SAFFORD, ARIZONA",Engine,NO,,https://www.fs.usda.gov/coronado
2,Rocky Mountain,RIO GRANDE,SAGUACHE,SAGUACHE,COLORADO,"SAGUACHE, COLORADO",,,,http://www.fs.usda.gov/riogrande
2,Rocky Mountain,PIKE AND SAN ISABEL,SALIDA,SALIDA,COLORADO,"SALIDA, COLORADO",,,,http://www.fs.usda.gov/psicc
4,Intermountain,SALMON AND CHALLIS,SALMON AND COBALT,SALMON,IDAHO,"SALMON, IDAHO",Rappel,NO,,http://www.fs.usda.gov/scnf
4,Intermountain,UINTA-WASATCH-CACHE,SALT LAKE,SALT LAKE CITY,UTAH,"SALT LAKE CITY, UTAH","Engine, Type 2/2IA Handcrew, IA Crew/Squad (4-10 person), Fuels",NO,,http://www.fs.usda.gov/uwcnf
5,Pacific Southwest,SIX RIVERS,LOWER TRINITY,SALYER,CALIFORNIA,"SALYER, CALIFORNIA",Engine,YES,"There are also barracks at Ti bar, Orleans and Oak Bottom as if last year. (All managed in the six rivers ORD) Gasquet should still have barracks but I haven't been there in a couple years.",http://www.fs.usda.gov/srnf/
